指标,值
现状原始行数,26231
目标原始行数,64
聚合组合数,193
目标合计,28430
现状合计,26231
完成率整体,0.9226521280337672
默认展示口径,以 target 表中的期次为准，每个学部仅展示目标表里的最新期次；demo-only 期次保留在完整 Summary 中
最新期次范围,初中=暑_10；小学=暑_8；高中=暑_10
最新期次聚合组合数,79
最新期次目标合计,28430
最新期次现状合计,9432
最新期次完成率整体,0.33176222300386915
总天数,6
下单日期口径,每个统计项下取最近一次日期
进度计算,进度=(总天数-(target_time-下单日期))/总天数
播报图期次口径,以 target 表中的期次为准，小学、初中、高中各自仅播报目标表里的最新一期次数据
播报图渠道展示,线索渠道二级分类 + 价体
播报图招生目标,目标
播报图剩余天数,总天数-(target_time-下单日期)
成单量最小值,1
成单量最大值,1
渠道归并规则,线索渠道二级分类以“外部微转-”开头的值统一归为“外部微转-*”
缺失值检查,两个底表的指定维度字段及数值字段均无缺失
