学部,期次,线索渠道二级分类,价体,年级,下单日期,target_time,目标,现状,差距,完成率,进度
初中,暑_10,AI托管,0,初一,,2026-06-30,140,0,-140,0.0,
初中,暑_10,AI托管,0,初三,2026-06-24,2026-06-30,140,2,-138,0.014285714285714285,0.0
初中,暑_10,AI托管,0,初二,2026-06-24,2026-06-30,120,4,-116,0.03333333333333333,0.0
初中,暑_10,LEC内测,100,初一,2026-06-24,2026-06-30,300,457,157,1.5233333333333334,0.0
初中,暑_10,LEC内测,100,初三,2026-06-24,2026-06-30,600,83,-517,0.13833333333333334,0.0
初中,暑_10,LEC内测,100,初二,2026-06-24,2026-06-30,600,119,-481,0.19833333333333333,0.0
初中,暑_10,LEC内测,990,初一,2026-06-24,2026-06-30,500,113,-387,0.226,0.0
初中,暑_10,LEC内测,990,初三,2026-06-24,2026-06-30,700,83,-617,0.11857142857142858,0.0
初中,暑_10,LEC内测,990,初二,2026-06-24,2026-06-30,700,93,-607,0.13285714285714287,0.0
初中,暑_10,LLM外呼,990,初一,2026-06-24,2026-06-30,100,34,-66,0.34,0.0
初中,暑_10,LLM外呼,990,初三,2026-06-21,2026-06-30,650,82,-568,0.12615384615384614,1
初中,暑_10,LLM外呼,990,初二,2026-06-24,2026-06-30,650,58,-592,0.08923076923076922,0.0
初中,暑_10,外部微转-*,100,初一,2026-06-24,2026-06-30,190,37,-153,0.19473684210526315,0.0
初中,暑_10,外部微转-*,100,初三,2026-06-24,,0,11,11,,
初中,暑_10,外部微转-*,100,初二,2026-06-24,2026-06-30,360,21,-339,0.058333333333333334,0.0
初中,暑_10,外部微转-*,990,初一,2026-06-24,,0,25,25,,
初中,暑_10,外部微转-*,990,初三,,2026-06-30,300,0,-300,0.0,
初中,暑_10,外部微转-*,2880,初三,2026-06-24,,0,43,43,,
初中,暑_10,外部微转-*,2880,初二,2026-06-24,,0,50,50,,
初中,暑_10,常规外呼,100,初一,2026-06-24,,0,6,6,,
初中,暑_10,常规外呼,100,初三,2026-06-24,2026-06-30,400,131,-269,0.3275,0.0
初中,暑_10,常规外呼,100,初二,2026-06-24,2026-06-30,400,99,-301,0.2475,0.0
初中,暑_10,常规外呼,990,初一,2026-06-24,2026-06-30,500,135,-365,0.27,0.0
初中,暑_10,常规外呼,990,初三,2026-06-24,,0,1,1,,
初中,暑_10,常规外呼,990,初二,2026-06-24,,0,4,4,,
初中,暑_10,常规外呼,2880,初三,2026-06-24,2026-06-30,950,90,-860,0.09473684210526316,0.0
初中,暑_10,常规外呼,2880,初二,2026-06-24,2026-06-30,950,93,-857,0.09789473684210526,0.0
初中,暑_7,LLM外呼,990,初一,2026-06-24,,0,6,6,,
初中,暑_7,LLM外呼,990,初三,2026-06-20,,0,4,4,,
初中,暑_7,LLM外呼,990,初二,2026-06-24,,0,5,5,,
初中,暑_8,LLM外呼,990,初二,2026-06-24,,0,2,2,,
初中,暑_9,AI托管,0,初一,2026-06-23,,0,93,93,,
初中,暑_9,AI托管,0,初三,2026-06-23,,0,100,100,,
初中,暑_9,AI托管,0,初二,2026-06-23,,0,108,108,,
