下单日期,last_from,成单量,年级,学部,期次,线索渠道二级分类,价体
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,四年级,小学,暑_8,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,三年级,小学,暑_8,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,四年级,小学,暑_8,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_8,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,五年级,小学,暑_8,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,四年级,小学,暑_8,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,四年级,小学,暑_8,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,三年级,小学,暑_8,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,四年级,小学,暑_8,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,三年级,小学,暑_8,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,五年级,小学,暑_11,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初一,初中,暑_10,LLM外呼,990
2026-06-30,out_wxst_wxstqt_1721199322612,1,初二,初中,暑_10,LLM外呼,990
