学部,期次,线索渠道二级分类,价体,年级,下单日期,target_time,进量日期,目标,现状,差距,完成率,进度
初中,暑_10,AI托管,0.0,初一,2026-06-30,2026-06-30,2026-06-24,140,94,-46,0.6714285714285714,1.0
初中,暑_10,AI托管,0.0,初二,2026-06-30,2026-06-30,2026-06-24,120,155,35,1.2916666666666667,1.0
初中,暑_10,AI托管,0.0,初三,2026-06-30,2026-06-30,2026-06-24,140,121,-19,0.8642857142857143,1.0
初中,暑_10,LEC内测,1.0,初一,2026-06-24,2026-06-30,2026-06-24,300,494,194,1.6466666666666667,1.0
初中,暑_10,LEC内测,1.0,初二,2026-06-29,2026-06-30,2026-06-24,600,637,37,1.0616666666666668,1.0
初中,暑_10,LEC内测,1.0,初三,2026-06-30,2026-06-30,2026-06-24,600,544,-56,0.9066666666666666,1.0
初中,暑_10,LEC内测,9.9,初一,2026-06-30,2026-06-30,2026-06-24,500,696,196,1.392,1.0
初中,暑_10,LEC内测,9.9,初二,2026-06-30,2026-06-30,2026-06-24,700,801,101,1.1442857142857144,1.0
初中,暑_10,LEC内测,9.9,初三,2026-06-30,2026-06-30,2026-06-24,700,661,-39,0.9442857142857143,1.0
初中,暑_10,LLM外呼,9.9,初一,2026-06-30,2026-06-30,2026-06-24,100,727,627,7.27,1.0
初中,暑_10,LLM外呼,9.9,初二,2026-06-30,2026-06-30,2026-06-24,650,744,94,1.1446153846153846,1.0
初中,暑_10,LLM外呼,9.9,初三,2026-06-21,2026-06-30,2026-06-24,650,82,-568,0.12615384615384614,1.0
初中,暑_10,外部微转-*,9.9,初一,2026-06-30,2026-06-30,2026-06-24,190,210,20,1.105263157894737,1.0
初中,暑_10,外部微转-*,28.8,初二,2026-06-30,2026-06-30,2026-06-24,360,299,-61,0.8305555555555556,1.0
初中,暑_10,外部微转-*,28.8,初三,2026-06-30,2026-06-30,2026-06-24,300,302,2,1.0066666666666666,1.0
初中,暑_10,常规外呼,1.0,初一,2026-06-24,,,0,6,6,,
初中,暑_10,常规外呼,1.0,初二,2026-06-30,2026-06-30,2026-06-24,400,552,152,1.38,1.0
初中,暑_10,常规外呼,1.0,初三,2026-06-30,2026-06-30,2026-06-24,400,623,223,1.5575,1.0
初中,暑_10,常规外呼,9.9,初一,2026-06-29,2026-06-30,2026-06-24,500,602,102,1.204,1.0
初中,暑_10,常规外呼,9.9,初二,2026-06-30,,,0,98,98,,
初中,暑_10,常规外呼,9.9,初三,2026-06-30,,,0,58,58,,
初中,暑_10,常规外呼,28.8,初二,2026-06-30,2026-06-30,2026-06-24,950,589,-361,0.62,1.0
初中,暑_10,常规外呼,28.8,初三,2026-06-30,2026-06-30,2026-06-24,950,577,-373,0.6073684210526316,1.0
初中,暑_11,AI托管,0.0,初一,2026-07-04,2026-07-07,2026-07-01,130,66,-64,0.5076923076923077,1.0
初中,暑_11,AI托管,0.0,初二,2026-07-06,2026-07-07,2026-07-01,120,220,100,1.8333333333333333,1.0
初中,暑_11,AI托管,0.0,初三,2026-07-06,2026-07-07,2026-07-01,130,180,50,1.3846153846153846,1.0
初中,暑_11,LEC内测,1.0,初一,2026-07-01,,,0,121,121,,
初中,暑_11,LEC内测,9.9,初一,2026-07-03,2026-07-07,2026-07-01,800,808,8,1.01,1.0
初中,暑_11,LEC内测,9.9,初二,2026-07-07,2026-07-07,2026-07-01,1000,1102,102,1.102,1.0
初中,暑_11,LEC内测,9.9,初三,2026-07-07,2026-07-07,2026-07-01,1000,1044,44,1.044,1.0
初中,暑_11,LLM外呼,9.9,初一,2026-07-06,2026-07-07,2026-07-01,100,479,379,4.79,1.0
初中,暑_11,LLM外呼,9.9,初二,2026-07-07,2026-07-07,2026-07-01,700,851,151,1.2157142857142857,1.0
初中,暑_11,LLM外呼,9.9,初三,2026-07-07,2026-07-07,2026-07-01,700,515,-185,0.7357142857142858,1.0
初中,暑_11,外部微转-*,9.9,初一,2026-07-03,2026-07-07,2026-07-01,220,204,-16,0.9272727272727272,1.0
初中,暑_11,外部微转-*,28.8,初二,2026-07-07,2026-07-07,2026-07-01,350,446,96,1.2742857142857142,1.0
初中,暑_11,外部微转-*,28.8,初三,2026-07-07,2026-07-07,2026-07-01,300,484,184,1.6133333333333333,1.0
初中,暑_11,常规外呼,1.0,初一,2026-07-04,,,0,33,33,,
初中,暑_11,常规外呼,1.0,初二,2026-07-06,2026-07-07,2026-07-01,650,575,-75,0.8846153846153846,1.0
初中,暑_11,常规外呼,1.0,初三,2026-07-05,2026-07-07,2026-07-01,650,620,-30,0.9538461538461539,1.0
初中,暑_11,常规外呼,9.9,初一,2026-07-07,2026-07-07,2026-07-01,750,729,-21,0.972,1.0
初中,暑_11,常规外呼,9.9,初二,2026-07-07,,,0,45,45,,
初中,暑_11,常规外呼,28.8,初二,2026-07-07,2026-07-07,2026-07-01,900,697,-203,0.7744444444444445,1.0
初中,暑_11,常规外呼,28.8,初三,2026-07-07,2026-07-07,2026-07-01,950,737,-213,0.7757894736842105,1.0
初中,暑_12,AI托管,0.0,初一,2026-07-07,,,0,16,16,,
初中,暑_12,AI托管,0.0,初二,2026-07-07,,,0,49,49,,
初中,暑_12,AI托管,0.0,初三,2026-07-07,,,0,46,46,,
初中,暑_12,LEC内测,9.9,初一,2026-07-07,,,0,23,23,,
初中,暑_12,LEC内测,9.9,初二,2026-07-07,,,0,12,12,,
初中,暑_12,LEC内测,9.9,初三,2026-07-07,,,0,9,9,,
初中,暑_12,LLM外呼,9.9,初一,2026-07-05,,,0,8,8,,
初中,暑_12,LLM外呼,9.9,初二,2026-07-07,,,0,18,18,,
初中,暑_12,LLM外呼,9.9,初三,2026-07-05,,,0,11,11,,
初中,暑_12,常规外呼,1.0,初一,2026-07-07,,,0,9,9,,
初中,暑_12,常规外呼,1.0,初二,2026-07-07,,,0,50,50,,
初中,暑_12,常规外呼,1.0,初三,2026-07-07,,,0,73,73,,
初中,暑_12,常规外呼,9.9,初一,2026-07-07,,,0,146,146,,
初中,暑_7,LLM外呼,9.9,初一,2026-06-24,,,0,6,6,,
初中,暑_7,LLM外呼,9.9,初二,2026-06-24,,,0,7,7,,
初中,暑_7,LLM外呼,9.9,初三,2026-06-20,,,0,4,4,,
初中,暑_8,LLM外呼,9.9,初一,2026-07-01,,,0,7,7,,
初中,暑_8,LLM外呼,9.9,初二,2026-06-28,,,0,4,4,,
初中,暑_9,AI托管,0.0,初一,2026-06-23,,,0,140,140,,
初中,暑_9,AI托管,0.0,初二,2026-06-23,,,0,142,142,,
初中,暑_9,AI托管,0.0,初三,2026-06-23,,,0,130,130,,
初中,暑_9,LEC内测,1.0,初一,2026-06-22,,,0,711,711,,
初中,暑_9,LEC内测,1.0,初二,2026-06-22,,,0,1120,1120,,
初中,暑_9,LEC内测,1.0,初三,2026-06-23,,,0,910,910,,
初中,暑_9,LEC内测,9.9,初一,2026-06-23,,,0,479,479,,
初中,暑_9,LEC内测,9.9,初二,2026-06-23,,,0,385,385,,
初中,暑_9,LEC内测,9.9,初三,2026-06-23,,,0,318,318,,
初中,暑_9,LLM外呼,9.9,初一,2026-07-03,,,0,484,484,,
初中,暑_9,LLM外呼,9.9,初二,2026-07-06,,,0,514,514,,
初中,暑_9,LLM外呼,9.9,初三,2026-07-06,,,0,14,14,,
初中,暑_9,外部微转-*,1.0,初一,2026-06-21,,,0,4,4,,
初中,暑_9,外部微转-*,1.0,初二,2026-06-21,,,0,9,9,,
初中,暑_9,外部微转-*,1.0,初三,2026-06-21,,,0,8,8,,
初中,暑_9,外部微转-*,9.9,初一,2026-06-23,,,0,134,134,,
初中,暑_9,外部微转-*,28.8,初一,2026-06-17,,,0,43,43,,
初中,暑_9,外部微转-*,28.8,初二,2026-06-23,,,0,256,256,,
初中,暑_9,外部微转-*,28.8,初三,2026-06-23,,,0,224,224,,
初中,暑_9,常规外呼,1.0,初一,2026-06-18,,,0,4,4,,
初中,暑_9,常规外呼,1.0,初二,2026-06-23,,,0,318,318,,
初中,暑_9,常规外呼,1.0,初三,2026-06-23,,,0,335,335,,
初中,暑_9,常规外呼,9.9,初一,2026-06-23,,,0,326,326,,
初中,暑_9,常规外呼,9.9,初二,2026-06-23,,,0,10,10,,
初中,暑_9,常规外呼,9.9,初三,2026-06-23,,,0,2,2,,
初中,暑_9,常规外呼,28.8,初一,2026-06-17,,,0,48,48,,
初中,暑_9,常规外呼,28.8,初二,2026-06-23,,,0,430,430,,
初中,暑_9,常规外呼,28.8,初三,2026-06-23,,,0,374,374,,
小学,暑_10,LLM外呼,9.9,二年级,2026-06-25,,,0,1,1,,
小学,暑_10,LLM外呼,9.9,三年级,2026-06-29,,,0,2,2,,
小学,暑_10,LLM外呼,9.9,四年级,2026-06-29,,,0,8,8,,
小学,暑_10,LLM外呼,9.9,五年级,2026-06-30,,,0,9,9,,
小学,暑_10,LLM外呼,9.9,六年级,2026-06-27,,,0,133,133,,
小学,暑_11,LLM外呼,9.9,三年级,2026-07-06,,,0,3,3,,
小学,暑_11,LLM外呼,9.9,四年级,2026-07-06,,,0,4,4,,
小学,暑_11,LLM外呼,9.9,五年级,2026-07-06,,,0,8,8,,
小学,暑_11,LLM外呼,9.9,六年级,2026-07-06,,,0,88,88,,
小学,暑_12,LLM外呼,9.9,二年级,2026-07-03,,,0,1,1,,
小学,暑_12,LLM外呼,9.9,四年级,2026-07-03,,,0,1,1,,
小学,暑_12,LLM外呼,9.9,六年级,2026-07-06,,,0,1,1,,
小学,暑_6,AI托管,0.0,四年级,2026-06-20,,,0,68,68,,
小学,暑_6,AI托管,0.0,五年级,2026-06-20,,,0,51,51,,
小学,暑_6,AI托管,0.0,六年级,2026-06-18,,,0,35,35,,
小学,暑_6,LEC内测,9.9,三年级,2026-06-17,,,0,15,15,,
小学,暑_6,LEC内测,9.9,五年级,2026-06-17,,,0,13,13,,
小学,暑_6,LLM外呼,9.9,三年级,2026-06-17,,,0,1,1,,
小学,暑_6,LLM外呼,9.9,四年级,2026-06-17,,,0,13,13,,
小学,暑_6,LLM外呼,9.9,五年级,2026-06-17,,,0,1,1,,
小学,暑_6,常规外呼,28.8,三年级,2026-06-17,,,0,8,8,,
小学,暑_6,常规外呼,28.8,五年级,2026-06-17,,,0,14,14,,
小学,暑_7,AI托管,0.0,三年级,2026-06-27,,,0,24,24,,
小学,暑_7,AI托管,0.0,四年级,2026-06-27,,,0,35,35,,
小学,暑_7,AI托管,0.0,五年级,2026-06-27,,,0,44,44,,
小学,暑_7,AI托管,0.0,六年级,2026-06-27,,,0,40,40,,
小学,暑_7,LEC内测,1.0,三年级,2026-06-24,,,0,1968,1968,,
小学,暑_7,LEC内测,1.0,四年级,2026-06-23,,,0,2036,2036,,
小学,暑_7,LEC内测,1.0,五年级,2026-06-23,,,0,1513,1513,,
小学,暑_7,LEC内测,1.0,六年级,2026-06-23,,,0,1857,1857,,
小学,暑_7,LEC内测,9.9,三年级,2026-06-24,,,0,131,131,,
小学,暑_7,LEC内测,9.9,四年级,2026-06-24,,,0,191,191,,
小学,暑_7,LEC内测,9.9,五年级,2026-06-24,,,0,156,156,,
小学,暑_7,LEC内测,9.9,六年级,2026-06-24,,,0,135,135,,
小学,暑_7,LLM外呼,9.9,二年级,2026-06-22,,,0,66,66,,
小学,暑_7,LLM外呼,9.9,三年级,2026-06-24,,,0,239,239,,
小学,暑_7,LLM外呼,9.9,四年级,2026-06-24,,,0,252,252,,
小学,暑_7,LLM外呼,9.9,五年级,2026-06-23,,,0,235,235,,
小学,暑_7,LLM外呼,9.9,六年级,2026-06-24,,,0,4,4,,
小学,暑_7,外部微转-*,1.0,三年级,2026-06-24,,,0,181,181,,
小学,暑_7,外部微转-*,1.0,四年级,2026-06-23,,,0,214,214,,
小学,暑_7,外部微转-*,1.0,五年级,2026-06-23,,,0,135,135,,
小学,暑_7,外部微转-*,1.0,六年级,2026-06-23,,,0,191,191,,
小学,暑_7,常规外呼,1.0,三年级,2026-06-18,,,0,1,1,,
小学,暑_7,常规外呼,1.0,五年级,2026-06-18,,,0,1,1,,
小学,暑_7,常规外呼,1.0,六年级,2026-06-18,,,0,1,1,,
小学,暑_7,常规外呼,9.9,三年级,2026-06-23,,,0,3,3,,
小学,暑_7,常规外呼,9.9,四年级,2026-06-24,,,0,8,8,,
小学,暑_7,常规外呼,9.9,五年级,2026-06-24,,,0,5,5,,
小学,暑_7,常规外呼,9.9,六年级,2026-06-24,,,0,3,3,,
小学,暑_7,常规外呼,18.8,二年级,2026-06-18,,,0,1,1,,
小学,暑_7,常规外呼,18.8,三年级,2026-06-20,,,0,3,3,,
小学,暑_7,常规外呼,18.8,四年级,2026-06-21,,,0,2,2,,
小学,暑_7,常规外呼,18.8,五年级,2026-06-20,,,0,2,2,,
小学,暑_7,常规外呼,18.8,六年级,2026-06-20,,,0,2,2,,
小学,暑_7,常规外呼,28.8,二年级,2026-06-24,,,0,89,89,,
小学,暑_7,常规外呼,28.8,三年级,2026-06-24,,,0,227,227,,
